variant,size_bytes,flit_bytes,packet_flits,delay_cycles,cycle_ps,latency_ns,effective_gbps,run_dir
ufs4,408,8,52,61,1379.31034483,84.1379310345,4.84918032787,/home/csld/SIM/ufs4_popnet_link_sweep/s_408
ufs4,416,8,53,62,1379.31034483,85.5172413793,4.86451612903,/home/csld/SIM/ufs4_popnet_link_sweep/s_416
ufs4,424,8,54,63,1379.31034483,86.8965517241,4.87936507937,/home/csld/SIM/ufs4_popnet_link_sweep/s_424
ufs4,432,8,55,64,1379.31034483,88.275862069,4.89375,/home/csld/SIM/ufs4_popnet_link_sweep/s_432
ufs4,440,8,56,65,1379.31034483,89.6551724138,4.90769230769,/home/csld/SIM/ufs4_popnet_link_sweep/s_440
ufs4,448,8,57,66,1379.31034483,91.0344827586,4.92121212121,/home/csld/SIM/ufs4_popnet_link_sweep/s_448
ufs4,456,8,58,67,1379.31034483,92.4137931034,4.93432835821,/home/csld/SIM/ufs4_popnet_link_sweep/s_456
ufs4,464,8,59,68,1379.31034483,93.7931034483,4.94705882353,/home/csld/SIM/ufs4_popnet_link_sweep/s_464
ufs4,472,8,60,69,1379.31034483,95.1724137931,4.95942028986,/home/csld/SIM/ufs4_popnet_link_sweep/s_472
ufs4,480,8,61,70,1379.31034483,96.5517241379,4.97142857143,/home/csld/SIM/ufs4_popnet_link_sweep/s_480
ufs4,4096,8,513,522,1379.31034483,720,5.68888888889,/home/csld/SIM/ufs4_popnet_link_sweep/s_4096
ufs4,16384,8,2049,2058,1379.31034483,2838.62068966,5.77181729835,/home/csld/SIM/ufs4_popnet_link_sweep/s_16384
ufs4,65536,8,8193,8202,1379.31034483,11313.1034483,5.79292855401,/home/csld/SIM/ufs4_popnet_link_sweep/s_65536
ufs4,262144,8,32769,32778,1379.31034483,45211.0344828,5.79823052047,/home/csld/SIM/ufs4_popnet_link_sweep/s_262144
ufs4,1048576,8,131073,131082,1379.31034483,180802.758621,5.79955752888,/home/csld/SIM/ufs4_popnet_link_sweep/s_1048576
ufs4,4194304,8,524289,524298,1379.31034483,723169.655172,5.79988937589,/home/csld/SIM/ufs4_popnet_link_sweep/s_4194304
