memory_mode,variant,size_bytes,queue_depth,total_bytes,status,started_at_taipei,done_at_taipei,final_cycle,t_request_cycle,t_link_occupied_cycle,t_link_sum_cycle,t_nonlink_wall_cycle,p_link_occupied_fraction,link_sum_over_request,throughput_bytes_per_cycle,bench_records,delay_records,popnet_tx_count,popnet_finished,error,run_dir
cold,pcie,4096,1,4096,OK,2026-08-27 10:45:20,2026-08-27 10:45:29,50824986,50824986,1951000.000000,1951000.000000,48873986.000000,0.0383866313313,0.0383866313313,8.05902828975e-05,2,2,2,2,,/home/csld/SIM/hil_cold_qd1_instrumentation/cold_pcie_4096_qd1
cold,pcie,16384,1,16384,OK,2026-08-27 10:45:29,2026-08-27 10:45:38,58556986,58556986,7583000.000000,7583000.000000,50973986.000000,0.129497785286,0.129497785286,0.000279795821458,2,2,2,2,,/home/csld/SIM/hil_cold_qd1_instrumentation/cold_pcie_16384_qd1
cold,pcie,65536,1,65536,OK,2026-08-27 10:45:38,2026-08-27 10:45:47,90184986,90184986,30111000.000000,30111000.000000,60073986.000000,0.333880408874,0.333880408874,0.000726684151173,2,2,2,2,,/home/csld/SIM/hil_cold_qd1_instrumentation/cold_pcie_65536_qd1
cold,pcie,262144,1,262144,OK,2026-08-27 10:45:47,2026-08-27 10:46:01,218096986,218096986,120223000.000000,120223000.000000,97873986.000000,0.551236411859,0.551236411859,0.00120196067267,2,2,2,2,,/home/csld/SIM/hil_cold_qd1_instrumentation/cold_pcie_262144_qd1
cold,pcie,1048576,1,1048576,OK,2026-08-27 10:46:01,2026-08-27 10:47:52,729744986,729744986,480671000.000000,480671000.000000,249073986.000000,0.658683525371,0.658683525371,0.00143690744043,2,2,2,2,,/home/csld/SIM/hil_cold_qd1_instrumentation/cold_pcie_1048576_qd1
cold,pcie,4194304,1,4194304,RUNNING,2026-08-27 10:47:52,,,,,,,,,,,,,,,/home/csld/SIM/hil_cold_qd1_instrumentation/cold_pcie_4194304_qd1
