memory_mode,variant,size_bytes,queue_depth,total_bytes,status,started_at_taipei,done_at_taipei,final_cycle,t_request_cycle,t_link_occupied_cycle,t_link_sum_cycle,t_nonlink_wall_cycle,p_link_occupied_fraction,link_sum_over_request,throughput_bytes_per_cycle,bench_records,delay_records,popnet_tx_count,popnet_finished,error,run_dir
cold,pcie,4096,1,4096,OK,2026-08-27 17:17:04,2026-08-27 17:17:11,49897986,49897986,1024000.000000,1024000.000000,48873986.000000,0.0205218703617,0.0205218703617,8.20874814466e-05,2,2,2,2,,/home/csld/SIM/pcie_qd1_cold_slc_cmd64_20260827/cold_pcie_4096_qd1
cold,pcie,16384,1,16384,OK,2026-08-27 17:17:11,2026-08-27 17:17:19,54813986,54813986,3840000.000000,3840000.000000,50973986.000000,0.0700551133063,0.0700551133063,0.000298901816774,2,2,2,2,,/home/csld/SIM/pcie_qd1_cold_slc_cmd64_20260827/cold_pcie_16384_qd1
cold,pcie,65536,1,65536,OK,2026-08-27 17:17:19,2026-08-27 17:17:26,75177986,75177986,15104000.000000,15104000.000000,60073986.000000,0.200909878059,0.200909878059,0.000871744555647,2,2,2,2,,/home/csld/SIM/pcie_qd1_cold_slc_cmd64_20260827/cold_pcie_65536_qd1
cold,pcie,262144,1,262144,OK,2026-08-27 17:17:26,2026-08-27 17:17:37,158033986,158033986,60160000.000000,60160000.000000,97873986.000000,0.380677609435,0.380677609435,0.0016587824343,2,2,2,2,,/home/csld/SIM/pcie_qd1_cold_slc_cmd64_20260827/cold_pcie_262144_qd1
cold,pcie,1048576,1,1048576,OK,2026-08-27 17:17:37,2026-08-27 17:18:37,489457986,489457986,240384000.000000,240384000.000000,249073986.000000,0.491122847876,0.491122847876,0.00214232075069,2,2,2,2,,/home/csld/SIM/pcie_qd1_cold_slc_cmd64_20260827/cold_pcie_1048576_qd1
cold,pcie,4194304,1,4194304,OK,2026-08-27 17:18:37,2026-08-27 17:30:12,1815153986,1815153986,961280000.000000,961280000.000000,853873986.000000,0.529585923516,0.529585923516,0.0023107152519,2,2,2,2,,/home/csld/SIM/pcie_qd1_cold_slc_cmd64_20260827/cold_pcie_4194304_qd1
